State Name,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2000-01,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1999-00,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2013-14,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2012-13,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2011-12,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2010-11,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2009-10,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2008-09,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2007-08,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2006-07,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2005-06,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2004-05,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2003-04,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2002-03,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2001-02,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 2000-01,Support Services Expenditures (STE2T) per Pupil (MEMBR) [State Finance] 1999-00,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2013-14,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2012-13,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2011-12,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2010-11,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2009-10,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2008-09,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2007-08,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2006-07,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2005-06,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2004-05,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2003-04,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2002-03,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2001-02,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 2000-01,Instruction Expenditures (STE1) per Pupil (MEMBR) [State Finance] 1999-00
IDAHO,6577,6761,6626,6821,7100,7118,6951,6648,6469,6319,6168,6081,6011,5725,5315,2298,2322,2272,2311,2405,2429,2376,2256,2179,2125,2100,2098,2079,1963,1803,3921,4071,3996,4162,4342,4335,4238,4081,3988,3907,3793,3721,3672,3511,3280
ILLINOIS,13213,12443,12011,11742,11739,11097,10353,9596,9113,8896,8606,8287,7956,7631,7133,4797,4548,4405,4360,4359,4227,3940,3635,3450,3320,3170,3068,2964,2826,2605,8043,7511,7233,7025,7027,6524,6086,5651,5365,5290,5157,4952,4733,4554,4284
INDIANA,9396,9421,9588,9251,9479,9254,8867,9080,8929,8919,8431,8057,7734,7630,7192,3517,3498,3517,3395,3503,3460,3689,3244,3201,3173,2986,2797,2710,2623,2416,5439,5478,5640,5445,5574,5404,4819,5445,5363,5384,5097,4932,4707,4700,4484
IOWA,10647,10291,10027,9795,9748,9704,9520,8791,8355,7962,7626,7574,7338,6930,6564,3684,3491,3397,3310,3295,3318,3314,3089,2972,2714,2570,2511,2432,2353,2208,6469,6317,6164,6040,6008,5944,5763,5290,4993,4853,4684,4508,4373,4059,3864
KANSAS,10240,10011,10021,9802,9972,10204,9894,9243,8640,7926,7776,7454,7339,6937,6294,3590,3479,3457,3415,3450,3576,3499,3221,3064,2836,2792,2697,2707,2544,2378,6161,6043,6090,5941,6070,6162,5948,5607,5175,4714,4624,4413,4290,4072,3608
KENTUCKY,9411,9274,9327,9228,8957,8786,8740,7941,7668,7132,6864,6661,6523,6079,5921,3424,3355,3347,3265,3112,3049,3041,2753,2659,2427,2312,2233,2160,2033,1975,5389,5323,5401,5410,5314,5204,5181,4719,4563,4284,4158,4066,4003,3725,3616
LOUISIANA,10853,10539,10726,10799,10701,10625,10006,8937,8486,7669,7271,6922,6567,6037,5804,4147,4002,4031,3938,3872,3891,3570,3240,3058,2616,2439,2291,2136,2003,1862,6116,5960,6108,6288,6265,6160,5891,5188,4948,4597,4392,4203,4014,3638,3497
MAINE,13267,12655,12335,12576,12452,12183,11761,11644,10841,10342,9746,9344,8818,8232,7667,4949,4689,4537,4544,4497,4415,3837,3651,3350,3098,2900,2774,2646,2446,2243,7871,7524,7374,7628,7548,7333,7535,7614,7127,6905,6530,6269,5877,5506,5127
MARYLAND,14217,14086,13871,14123,14007,13737,13257,11989,10909,10031,9433,9153,8692,8260,7731,4981,4939,4880,4869,4760,4716,4591,4107,3731,3392,3073,3042,2872,2780,2587,8840,8756,8620,8712,8706,8470,8107,7355,6685,6195,5941,5693,5408,5071,4758
MASSACHUSETTS,15886,15321,14844,14285,14699,14534,13690,12784,12087,11642,11015,10460,10232,9509,8816,5275,5032,4837,4625,4668,4693,4429,4182,3943,3896,3622,3486,3399,2866,2633,10172,9871,9605,9280,9658,9461,8875,8217,7756,7410,7082,6656,6515,6307,5868
MICHIGAN,10649,10515,10477,10577,10447,10373,10075,9876,9575,9340,9094,8781,8653,8278,8110,4132,4043,4012,4118,4089,4103,4041,3964,3854,3739,3632,3509,3419,3196,3161,6125,6079,6082,6095,6012,5930,5710,5605,5420,5310,5180,5002,4968,4832,4716
MINNESOTA,11427,11065,10781,10674,10665,10983,10060,9589,9159,8718,8405,8109,7736,7645,7190,3488,3318,3209,3161,3135,3281,3117,2964,2848,2647,2542,2536,2467,2580,2369,7406,7228,7070,7027,7057,7228,6483,6191,5898,5668,5472,5201,4924,4748,4521
MISSISSIPPI,8265,8117,8097,7926,8104,8064,7890,7459,7173,6548,6199,5792,5354,5175,5014,3107,2986,2974,2853,2855,2843,2776,2633,2520,2231,2105,1966,1781,1712,1628,4642,4620,4620,4582,4765,4731,4647,4385,4239,3913,3717,3466,3224,3126,3061
MISSOURI,9938,9702,9514,9461,9721,9617,9532,8848,8273,7858,7542,7495,7136,6657,6187,3603,3488,3389,3364,3431,3407,3390,3102,2883,2734,2629,2602,2472,2327,2114,5870,5753,5670,5669,5859,5779,5718,5349,5021,4774,4577,4570,4346,4039,3811
MONTANA,10941,10662,10569,10719,10565,10120,9786,9191,8626,8133,7825,7496,7062,6726,6314,3987,3838,3810,3836,3763,3605,3470,3245,3056,2831,2717,2583,2393,2303,2121,6468,6353,6288,6416,6359,6081,5900,5566,5211,4963,4784,4606,4374,4150,3939
NEBRASKA,11877,11743,11640,11540,11460,10846,10565,10068,9324,8794,8452,8074,7741,7223,6683,3560,3487,3395,3121,3201,3066,3063,2986,2773,2599,2463,2360,2313,2184,1977,7521,7470,7427,7645,7511,7042,6798,6403,5921,5586,5403,5151,4879,4504,4198
NEVADA,8275,8026,8130,8411,8376,8321,8187,7796,7177,6804,6410,6092,6079,5807,5760,3145,3092,3057,3121,3115,3105,3024,2800,2543,2315,2184,2080,2086,1995,2145,4805,4613,4764,5010,4989,4944,4866,4727,4388,4247,4015,3812,3794,3628,3437
NEW HAMPSHIRE,14601,14050,13774,13548,13072,12583,11951,11036,10396,9771,9161,8579,7935,7286,6860,4903,4653,4526,4394,4246,4154,3902,3606,3383,3149,2928,2746,2534,2317,2143,9322,9023,8875,8793,8478,8084,7711,7112,6710,6332,5953,5569,5148,4733,4493
NEW JERSEY,18780,18523,17982,16855,17379,16973,17620,16163,14954,14117,13338,12568,11793,11248,10337,7006,6828,6608,6174,6405,6342,6642,6057,5653,5311,5016,4757,4454,4240,3930,11159,11106,10779,10131,10417,10062,10471,9611,8832,8359,7902,7424,6975,6668,6088
NEW MEXICO,9403,9164,9013,9250,9621,9648,9291,8849,8354,7834,7572,7125,6882,6313,5825,3575,3459,3431,3525,3688,3680,3562,3467,3288,3092,2974,2842,2716,2496,2254,5377,5262,5151,5303,5525,5565,5345,5011,4698,4387,4251,3953,3848,3511,3287
NEW YORK,20156,19529,19396,18834,18167,17746,16794,15546,14615,13703,12638,11961,11218,10716,9846,5631,5589,5529,5296,5116,5097,4864,4464,4180,3969,3696,3459,3256,3150,2874,14124,13540,13459,13160,12676,12276,11572,10740,10109,9425,8646,8213,7660,7274,6707
NORTH CAROLINA,8287,8342,8160,8267,8225,8463,7798,7878,7396,7098,6613,6562,6495,6340,6045,2730,2694,2616,2653,2627,2635,2389,2570,2409,2291,2050,2023,2010,1964,1872,5086,5174,5087,5167,5151,5372,4961,4887,4575,4419,4191,4173,4115,4024,3835
NORTH DAKOTA,12032,11615,11246,10898,10519,9802,9324,8671,8728,8279,7333,6870,6709,6125,5667,4068,3932,3735,3705,3568,3260,3138,2914,2717,2540,2362,2230,2073,1973,1805,6974,6718,6570,6307,6080,5721,5419,5025,5304,5080,4364,4102,4117,3645,3391
OHIO,11434,11276,11323,11395,11224,10669,10340,9937,9692,9330,9029,8632,8069,7571,7065,4341,4449,4493,4536,4437,4232,4084,3909,3823,3688,3564,3390,3109,2879,2653,6709,6438,6444,6483,6417,6081,5911,5700,5549,5335,5169,4956,4683,4428,4156
OKLAHOMA,7995,7914,7763,7631,7929,7878,7683,7430,6941,6610,6154,6092,6229,6019,5395,3003,2945,2878,2773,2824,2835,2742,2633,2548,2408,2237,2160,2223,2149,1918,4410,4378,4318,4337,4566,4508,4432,4307,3935,3755,3492,3528,3600,3483,3120
OREGON,9959,9183,9485,9516,9268,9611,9565,8958,8645,8071,7618,7491,7642,7528,7149,3790,3516,3619,3622,3515,3684,3643,3385,3262,3037,2815,2798,2896,2844,2653,5787,5321,5509,5546,5417,5594,5584,5254,5074,4743,4532,4438,4490,4424,4244
PENNSYLVANIA,13824,13445,13091,13096,12729,12299,11741,10905,10723,10235,9708,8997,8537,8210,7772,4791,4652,4587,4580,4466,4382,4158,3815,3726,3529,3335,3088,2894,2775,2605,8509,8276,7993,8020,7777,7437,7131,6668,6586,6313,5989,5557,5318,5127,4876
RHODE ISLAND,15372,14889,15172,14948,14723,14719,14459,13453,12609,11667,11078,10349,9703,9315,8904,5569,5290,5376,5365,5453,5548,5375,5005,4696,4128,3646,3396,3186,3067,2796,9378,9204,9405,9210,8923,8812,8726,8103,7589,7247,7154,6685,6260,6007,5859
SOUTH CAROLINA,9608,9444,9077,8903,9080,9228,9060,8507,8120,7549,7177,7040,7017,6631,6130,3671,3580,3416,3333,3361,3400,3400,3146,2961,2684,2515,2464,2411,2299,2107,5403,5333,5148,5082,5233,5329,5169,4905,4728,4465,4271,4199,4225,3968,3674
SOUTH DAKOTA,9036,8630,8593,8931,9020,8543,8535,8064,7775,7464,7068,6547,6424,6191,5632,3201,3054,3014,3143,3136,3097,3093,2927,2835,2712,2555,2361,2273,2196,1938,5287,5057,5053,5282,5387,4958,4956,4682,4506,4335,4127,3836,3803,3671,3393
TENNESSEE,8662,8588,8354,8484,8117,7992,7820,7129,7004,6850,6466,6118,5948,5687,5383,2849,2827,2714,2682,2603,2580,2491,2225,2163,2095,1977,1885,1778,1743,1603,5340,5291,5194,5393,5111,5016,4935,4547,4502,4422,4143,3933,3878,3664,3510
TEXAS,8602,8261,8213,8685,8788,8562,8350,7850,7480,7246,7151,7136,6771,6539,6288,3026,2899,2890,3001,3014,2979,2922,2771,2638,2540,2467,2469,2343,2260,2143,5068,4873,4850,5211,5309,5138,4993,4673,4448,4324,4314,4307,4089,3952,3828
UTAH,6546,6432,6441,6326,6452,6612,5978,5709,5464,5216,4991,4838,4900,4674,4378,2017,1981,1949,1886,1929,1959,1761,1763,1684,1593,1518,1461,1435,1369,1256,4144,4068,4101,4069,4154,4275,3886,3606,3453,3302,3174,3103,3197,3024,2858
VERMONT,18066,17286,16651,14707,16006,15096,14421,13629,12805,11972,11211,10454,9806,9153,8323,6137,5888,5746,5241,5607,5258,4966,4650,4304,3995,3713,3458,3217,2973,2714,11390,10894,10434,9045,9975,9418,9073,8618,8152,7648,7186,6713,6314,5930,5379
VIRGINIA,10955,10960,10656,10363,10594,10928,10664,10214,9452,8886,8219,7822,7496,7281,6841,3892,3852,3772,3678,3737,3895,3774,3554,3275,3071,2853,2705,2583,2503,2327,6636,6674,6458,6282,6463,6631,6502,6253,5789,5449,5039,4809,4620,4493,4255
WASHINGTON,10305,9714,9617,9619,9497,9585,9058,8524,7984,7717,7391,7252,7039,6750,6376,3882,3633,3561,3369,3338,3387,3237,3055,2872,2746,2628,2582,2508,2415,2261,5962,5630,5609,5813,5730,5769,5392,5061,4725,4589,4402,4317,4189,4007,3803
WEST VIRGINIA,11371,11257,11579,11978,11730,10606,10059,9727,9440,9024,8588,8319,7844,7534,7152,4126,4047,4140,4167,4011,3689,3526,3405,3251,3064,2834,2742,2549,2467,2315,6569,6539,6786,7175,7104,6321,5957,5774,5659,5461,5279,5115,4838,4629,4414
WISCONSIN,11345,11186,11233,11946,11453,11183,10791,10372,9993,9755,9240,9004,8634,8243,7806,4146,4048,4058,4218,4021,3947,3851,3666,3542,3431,3263,3149,3005,2872,2701,6780,6714,6748,7309,7030,6846,6560,6350,6116,6001,5678,5566,5351,5109,4860
WYOMING,15903,15815,15988,15815,15232,14628,13856,13266,11437,10190,9308,8985,8645,7835,7425,6027,6005,6034,5975,5762,5566,5232,5056,4298,3833,3472,3317,3096,2833,2636,9408,9329,9460,9351,9001,8602,8195,7814,6774,6031,5539,5381,5263,4738,4537
